DateTime,AddedIPs,RemovedIPs
1630227749,8,0
1630228350,7,0
1630228949,11,0
1630229581,1,0
1630230749,4,0
1630231349,6,0
1630231949,0,1
1630233181,6,0
1630233748,3,0
1630234950,2,0
1630235549,8,0
1630236781,6,1
1630237348,3,0
1630237949,1,0
1630239148,6,0
1630239748,4,1
1630240381,4,0
1630241548,2,0
1630242149,3,0
1630242748,5,0
1630244548,3,0
1630246348,7,0
1630246948,5,0
1630247582,5,0
1630248748,2,0
1630249347,5,0
1630249947,6,0
1630250546,5,0
1630252346,8,0
1630252948,1,0
1630254781,17,0
1630255347,1,0
1630257147,2,1
1630257747,3,0
1630259545,8,0
1630260746,4,0
1630261346,6,0
1630261981,6,0
1630262548,6,0
1630274547,0,1
1630275147,8,1
1630275747,5,0
1630278148,60,0
1630278748,7,0
1630279981,3,0
1630280548,3,0
1630281148,2,0
1630281749,4,0
1630282349,7,0
1630282947,6,0
1630284148,4,0
1630285349,5,0
1630285949,7,0
1630286548,6,0
1630287182,6,0
1630287748,5,0
1630288347,1,0
1630288947,2,0
1630289547,2,0
1630290147,3,0
1630290781,8,0
1630291346,4,0
1630291947,18,0
1630292550,9,0
1630293746,14,0
1630294382,2,0
1630294946,4,1
1630296147,4,0
1630296747,1,0
1630297348,24,0
1630297981,4,0
1630298548,6,0
1630299149,1,0
1630300348,1,0
1630301581,3,0
1630302747,6,0
1630303347,10,0
1630303949,1,0
1630305748,5,2
1630306349,6,0
1630307548,10,0
1630308149,4,0
1630308781,4,0
1630309348,3,0
1630310550,1,0
1630311148,16,0
1630312382,11,0
1630312948,3,0
1630313547,2,0
1630315348,2,0
1630315982,4,0
1630316547,19,0
1630317147,12,0
1630317748,7,0
1630318347,5,0
1630318947,5,0
1630319581,2,0
1630320745,6,1
1630321347,6,0
1630323181,18,2
1630323748,7,0
1630325548,14,0
1630326148,16,0
1630326781,20,0
1630327349,23,0
1630327949,27,0
1630328549,10,13
1630329149,9,0
1630331549,30,6
1630332148,0,1
1630332749,15,18
1630333981,16,0
1630334549,6,0
1630335148,17,2
1630336348,18,0
1630336949,30,0
1630337582,13,7
1630338149,7,0
1630338747,30,0
1630339348,12,1
1630339948,11,1
1630340548,2,0
1630341181,11,1
1630342348,6,0
1630342948,14,8
1630344150,23,2
1630344781,12,1
1630345349,4,1
1630345949,8,5
1630346548,9,1
1630347149,10,0
1630347749,13,1
1630350148,23,19
1630350749,11,0
1630351349,5,2
1630351985,8,10
1630352549,2,0
1630353150,25,8
1630354350,20,9
1630354948,9,0
1630356747,3,25
1630357947,24,1
1630359182,2,0
1630359748,1,0
1630360345,3,12
1630360945,3,0
1630361546,3,1
1630362147,8,0
1630363948,18,10
1630364548,10,15
1630365148,12,0
1630365748,7,0
1630366381,4,8
1630366948,2,0
1630367548,3,5
1630368148,2,2
1630368748,15,0
1630369348,3,18
1630369981,5,0
1630370548,12,6
1630371148,4,6
1630371748,4,2
1630372348,1,2
1630372949,7,0
1630374748,4,1
1630375348,4,0
1630376547,10,1
1630378350,13,6
1630379549,15,5
1630380148,9,10
1630380781,12,1
1630381348,13,0
1630381947,1,0
1630382548,2,0
1630383148,13,3
1630383748,8,1
1630384381,20,0
1630384949,18,2
1630385552,0,2
1630386150,17,2
1630386749,9,0
1630387349,11,0
1630387981,9,1
1630388550,17,1
1630389149,8,2
1630389751,3,0
1630390949,15,2
1630391581,5,0
1630392149,8,1
1630392749,11,0
1630393349,3,0
1630393949,3,1
1630396348,19,0
1630396948,7,0
1630398147,27,1
1630398782,29,1
1630399347,7,3
1630399947,11,1
1630400547,1,0
1630401147,10,1
1630402381,15,9
1630402949,3,3
1630403550,6,5
1630404149,6,2
1630405981,6,9
1630406549,4,0
1630407749,4,0
1630408349,4,0
1630408948,17,0
1630409581,3,0
1630410147,8,1
1630410747,7,0
1630411346,2,0
1630411946,15,2
1630412546,10,0
1630413181,4,0
1630413745,9,0
1630414345,12,0
1630414946,21,0
1630423982,0,2
1630426945,17,16
1630428144,9,0
1630428745,17,1
1630429346,16,0
1630429944,10,0
1630430543,8,0
1630431182,15,0
1630431744,8,2
1630432343,4,0
1630432943,2,0
1630433543,10,0
1630434142,23,1
1630434781,10,1
1630435344,8,0
1630436543,15,8
1630437143,9,0
1630437742,8,4
1630438382,21,0
1630439542,8,3
1630440144,12,0
1630440744,7,1
1630441345,4,0
1630441981,6,4
1630442545,4,0
1630443145,6,0
1630443746,7,0
1630444346,4,0
1630444947,2,3
1630445581,11,0
1630446146,8,0
1630446747,14,0
1630447347,8,0
1630447947,4,0
1630448549,7,0
1630449181,3,0
1630450348,9,5
1630450947,6,1
1630451547,6,2
1630452146,1,5
1630453347,6,2
1630453946,8,1
1630454547,14,5
1630455147,5,0
1630456384,5,2
1630456947,4,1
1630457548,6,2
1630458148,1,0
1630458998,26282,15034
1630459983,1,0
1630461150,19,0
1630462347,1,0
1630462946,4,0
